,l3.1,l3.2,l11.1,l11.2
LINC01022,0,0,0,0
LINC01023,4.30207,4.18228,1.97724,0.839761
LINC01028,0,0,0.229055,0
LINC01029,0,0,0,0
LINC01030,0,0,0,0.131175
LINC01031,0.160239,0,0.269919,0.611414
LINC01033,4.22544,8.5415,10.4687,8.3871
LINC01034,0,0,0,0
LINC01035,0.0996548,0,0.132352,0
LINC01036,0.271961,0.311467,0.296269,0.412396
LINC01038,0,0.430985,0,0
LINC01039,0,0,0,0
LINC01043,0,0,0,0
LINC01044,0,0,0,0
LINC01046,0,0.0686784,0,0
LINC01047,0,0,0.518155,0.289002
LINC01048,0,0,0,0
LINC01050,0.0700265,0,0.0768034,0.0481742
LINC01053,0,0,0,0
LINC01054,0,0,0,0
LINC01055,0,0,0,0.0478667
LINC01056,0,0.15625,0,0.348935
LINC01058,0.125307,0.188012,0.0916058,0
LINC01060,0.0598378,0.824115,0.51509,0.340798
LINC01063,0,0,0,0
LINC01065,0,0,0,0
LINC01067,0.247208,0.788889,0.270458,0.150974
LINC01068,0.986573,0.0658115,0.159414,0.409389
LINC01069,0,0,0,0
LINC01070,0,0,0,0
LINC01072,0,0,0,0
LINC01077,0,0,0,0
LINC01079,0,0,0.162449,0
LINC01080,0,0,0,0
LINC01081,0,0.0745218,0,0
LINC01082,0,0,0,0
LINC01085,0,0,0,0
LINC01087,0.0736433,0.0330275,0.0404032,0.113
LINC01088,0.611731,0.564781,1.20305,1.17344
LINC01089,14.2253,13.7198,11.0307,14.2297
LINC01090,0,0,0,0
LINC01091,0.401193,0.0751335,0.497176,0.460639
LINC01093,0.0795368,0.0476211,0,0.0638205
LINC01094,0.287432,0.139433,0.194512,0.285373
LINC01095,0,0.0351587,0,0
LINC01096,0.337114,0.560204,0,0.203785
LINC01097,0,0,0,0
LINC01098,0,0.0642035,0,0
LINC01099,0,0.0959614,0,0.127534
LINC01101,0,0,0,0
LINC01102,0,0.247138,0.0612535,0.068976
LINC01103,0,0,0,0
LINC01104,0.0423582,0.0938288,0.0458921,0.0754506
LINC01106,6.43725,6.30197,7.30343,8.37099
LINC01107,0,0,0,0
LINC01108,0,0,0,0
LINC01109,0,0,0,0
LINC01111,0,0,0,0
LINC01114,0,0,0,0
LINC01115,0,0.0363929,0.0219638,0
LINC01116,2.28139,1.50148,1.79189,2.65286
LINC01117,0.257315,0.105185,0.140996,0.140922
LINC01118,0.112595,0,0,0.175344
LINC01119,0.192785,1.16018,0.617724,0.213188
LINC01120,0,0.0776686,0,0
LINC01121,0.0598678,0,0.151778,0.0360471
LINC01122,0.0651437,0.148709,0.17729,0.0371516
LINC01123,2.27164,1.44387,2.25542,2.05828
LINC01124,0,0,0,0
LINC01126,1.20803,0.825006,0.822228,1.00504
LINC01127,0,0,0,0
LINC01128,8.59776,9.90335,10.6956,9.96786
LINC01132,0,0.0304991,0.0373199,0.0613147
LINC01133,0,0.0304558,0,0
LINC01134,0.2635,0.421843,0.161125,0.161846
LINC01135,0.576962,0.227432,0.164646,0.364424
LINC01138,6.01684,5.25796,4.37897,8.10775
LINC01139,0.275406,0.112228,0.160405,0.12307
LINC01140,0.668512,0.450636,0.185192,0.181303
LINC01141,0,0,0,0
LINC01143,0,0,0,0
LINC01144,1.63716,1.14999,0.919574,1.01132
LINC01145,8.74881,7.88412,8.03931,9.5156
LINC01146,0,0,0,0.150666
LINC01147,0,0,0,0
LINC01148,0,0.0694762,0.084677,0
LINC01149,0,0,0.0342465,0
LINC01150,0.117844,0.106376,0.081927,0.0736115
LINC01151,0.695752,0.328413,0.14872,0.366615
LINC01152,0.198368,0.317972,0.294344,0.147511
LINC01154,0,0,0,0
LINC01159,0.640685,0.217686,0.300495,0.752941
LINC01160,1.32063,0.337641,0.912327,1.19477
LINC01163,0,0,0,0
LINC01164,0.0201616,0.144713,0.116301,0.0580137
LINC01165,0.169253,0,0.139197,0.0510498
LINC01166,0.226262,0.135441,0.110322,0.181516
LINC01167,1.40476,2.31128,0.30723,0.171984
LINC01168,0,0.341449,0.177825,0.0823791
LINC01169,0,0,0,0
LINC01170,0.127164,0,0.417352,0
LINC01173,0,0,0,0
LINC01176,1.69348,0.812243,1.15613,2.93343
LINC01177,0,0,0,0
LINC01179,0.0308827,0,0,0.0371889
LINC01180,0.0680964,0.0908078,0,0
LINC01181,0.157676,0,0,0
LINC01182,0.186349,0.0835542,0.12721,0.055456
LINC01186,0,0.13597,0,0.546276
LINC01187,0,0,0,0
LINC01189,0,0,0,0
LINC01191,0.151573,0,0.132842,0
LINC01192,0.0128545,0.0227689,0,0
LINC01193,0,0,0.225295,0
LINC01194,0.164367,0,0,0.403597
LINC01195,0,0,0,0
LINC01198,0.174527,0.149696,0.0614288,0.351049
LINC01201,0.258744,0,0,0
LINC01202,0.0730463,0.0261922,0,0.052657
LINC01203,0.125028,0.0821322,0.131853,0.315168
LINC01204,0,0,0,0
LINC01205,0.154029,0.137186,0,0.138014
LINC01206,0.140311,0.192711,0.138133,0.455812
LINC01208,0.158728,0.0886101,0.116003,0.127871
LINC01209,0.182237,0,0,0
LINC01210,0,0,0,0
LINC01213,0,0,0,0
LINC01214,0,0,0,0.354626
LINC01215,0.0254199,0.0228256,0.0836615,0.0305904
LINC01217,0,0,0,0
LINC01219,0,0,0,0.0987706
LINC01220,0.27825,0.471372,0.57574,0
LINC01224,0.241109,0.142283,0.220228,0.0404868
LINC01226,0.49073,0.182263,0.151923,0.696921
LINC01227,0,0,0,0
LINC01228,0.134658,0,0,0.658882
LINC01229,0,0.0401096,0,0.188395
LINC01230,0,0.0194128,0,0
LINC01231,0,0.0262559,0,0
LINC01232,1.30883,1.50151,1.69405,2.58493
LINC01234,2.28887,2.49869,2.28221,4.51655
LINC01235,0.11629,0,0,0
LINC01237,0.333015,0.33063,0.662948,0.909774
LINC01238,0.29296,0.269186,0.887189,0.460255
LINC01239,0.124992,0.0761833,0.128804,0.0939846
LINC01241,0,0,0,0
LINC01242,0,0,0,0.0825552
LINC01243,0,0,0,0
LINC01247,0.0154199,0,0.0167413,0
LINC01249,0,0,0,0
LINC01250,0,0,0,0.210351
LINC01251,0,0,0,0
LINC01252,0.100683,0.32539,0.77676,0.566854
LINC01254,0,0,0,0.0270545
LINC01255,0.0543541,0.0672554,0.119166,0
LINC01256,0,0,0,0
LINC01257,0.141257,0.126817,0.176622,0.254921
LINC01258,0,0,0.0612535,0
LINC01259,0,0,0,0
LINC01260,0,0.200301,0.404244,0.268359
LINC01262,0,0,0,0
LINC01264,0,0,0,0
LINC01266,0.0383911,0,0,0.114119
LINC01267,0,0,0,0
LINC01269,0,0.129005,0,0.175804
LINC01270,0.236398,0.158994,0.145776,0.571254
LINC01271,0,0.0265869,0,0
LINC01273,0.443191,0.350902,0.695435,0.392133
LINC01275,0.161276,0,0,0.127039
LINC01276,0,0,0,0
LINC01277,0.362045,0.339089,0.0728487,0.0332591
LINC01278,14.0087,14.5368,13.9309,14.2993
LINC01281,0,0,0,0
LINC01282,0,0,0,0
LINC01283,0,0,0,0
LINC01284,0.228075,0.207222,0.188355,0.0213288
LINC01285,0.917841,0.528888,1.21972,0.794156
LINC01287,0.0398791,0,0,0.0480954
LINC01288,0,0,0,0.0905481
LINC01289,0,0.0254349,0.0310586,0
LINC01290,0,0,0,0
LINC01291,0.0176422,0,0.728398,0
LINC01293,0,0,0,0
LINC01297,0.0760351,0,0.0500629,0.0743592
LINC01298,0,0,0,0
LINC01299,0.0225162,0.0404381,0.0741107,0.0270843
LINC01300,0,0,0,0
LINC01301,0.688718,0.31469,0.452263,0.604945
LINC01303,0,0,0,0
LINC01304,0.115458,0.103887,0.214382,0.319035
LINC01305,0.0625704,0,0.022884,0
LINC01307,0,0.185005,0.111439,0
LINC01309,0,0,0,0
LINC01310,0,0,0,0
LINC01311,3.3738,3.73526,1.63812,1.8624
LINC01312,0,0.0864203,0,0
LINC01315,2.47626,2.28891,3.6801,2.47537
LINC01318,0.142751,0,0,0
LINC01320,0.367358,0.363921,0.762918,0.558878
LINC01322,0,0.230322,0.269753,0
LINC01324,0,0,0,0
LINC01327,0,0,0,0
LINC01331,0,0,0,0
LINC01332,0,0,0,0
LINC01333,0,0,0,0
LINC01335,0,0,0,0
LINC01337,2.00883,1.64837,2.43666,0.827712
LINC01338,0,0,0.0276933,0
LINC01339,0.270496,0,0.147916,0.165457
LINC01340,0,0.042554,0,0.0563811
LINC01341,1.47914,0.816765,1.06321,1.20221
LINC01343,0,0,0,0
LINC01344,0.0750537,0,0.028451,0.034811
LINC01345,0,0,0,0
LINC01346,0,0,0,0
LINC01347,0.440312,0.617317,0.769105,0.709348
LINC01348,0.0203003,0.140832,0.0861948,0.192151
LINC01349,0,0,0,0
LINC01350,0,0,0,0
LINC01352,0,0,0,0
LINC01353,0,0,0,0.170793
LINC01354,0,0,0.0755996,0
LINC01355,0.638861,0.628224,0.440241,0.41409
LINC01356,0.189134,0.745344,0.6246,0.239132
LINC01357,0.189377,0.284666,0.457034,0.127117
LINC01358,0.155757,0.0666983,0.414374,0.862755
LINC01359,0.70807,0.328169,0.93993,1.57422
LINC01360,0,0,0,0
LINC01361,0.329403,0.297384,0.0515948,0.170443
LINC01362,0.0398791,0.0358904,0,0
LINC01363,0.178545,0,0,0.216953
LINC01365,0,0,0,0.224901
LINC01366,0,0.0504051,0.241127,0.13427
LINC01370,0,0,0,0
LINC01374,0,0,0,0
LINC01376,0.52378,0.568237,0.189643,0.683585
LINC01377,0,0,0,0
LINC01378,0.0714012,0,0,0.130251
LINC01381,0.412186,0,0,0
LINC01385,0.100303,0.0911278,0.109812,0
LINC01386,0.223204,0,0,0
LINC01387,0,0,0,0
LINC01388,2.19468,2.03011,1.86383,2.71851
LINC01389,0.774056,0.712559,2.11355,1.19183
LINC01391,0,0,0,0
LINC01392,0,0,0,0
LINC01393,0.0603635,0.245962,0.147273,0.258679
LINC01394,0.246677,0,0,0.917154
LINC01395,0,0,0,0
LINC01396,0.0564943,0.156239,0,0
LINC01397,0.744689,0.136306,0.325679,1.46033
LINC01398,0,0,0,0
LINC01399,0.255381,0.349498,0.419074,0.156071
LINC01400,0,0,0,0
LINC01402,0.49497,0.460685,0.536665,0.614891
LINC01405,0.0701829,0.207265,0.0869717,1.33862
LINC01409,26.2737,13.1708,15.0446,16.0728
LINC01410,4.22345,4.43033,2.54983,2.84767
LINC01411,0.742195,0.390013,1.81795,1.14145
LINC01412,0,0,0,0
LINC01413,0,0,0,0
LINC01414,0.466806,0.139747,0.165218,0.187135
LINC01415,0.0754161,0,0,0
LINC01416,0.0417277,0.107843,0.0228918,0.050181
LINC01419,0.091264,0.0411751,0.149654,0.054916
LINC01422,0.0887558,0.0789595,0.060788,0.223414
LINC01423,0,0,0,0
LINC01424,4.96531,5.36649,3.72461,5.85886
LINC01425,0.103674,0,0,0
LINC01426,0.0250237,0.0226613,0.0284136,0
LINC01427,0.116998,0.0157531,0,0.0347193
LINC01428,0,0,0,0
LINC01429,0.0285613,0.153886,0,0.0343719
LINC01431,2.83554,1.79927,1.48868,1.57594
LINC01432,0,0,0,0
LINC01433,0.094757,0,0.10008,0.115237
LINC01435,0.277257,0.126061,0,0
LINC01436,0,0,0,0
LINC01438,0,0,0,0
LINC01440,0,0,0,0
LINC01441,0,0,0,0
LINC01442,0.0429915,0,0,0
LINC01443,0.0438752,0,0,0.0477207
LINC01444,0,0,0,0
LINC01445,1.27373,0.947646,1.3445,1.48055
LINC01446,0.14717,0,0.0348441,0.186555
LINC01447,0,0,0,0.0303034
LINC01448,0,0,0,0
LINC01449,0.179077,0.17358,0,0.314791
LINC01450,0,0,0,0
LINC01456,0.795157,0.103414,0,0.554184
LINC01460,0.0228921,0.0205477,0.0502316,0.173997
LINC01465,0.521353,0.156277,0.152483,0.502625
LINC01467,0,0,0,0
LINC01470,0,0,0,0.0435373
LINC01471,0.0211717,0,0,0
LINC01473,0.270558,0.0644284,0.604846,0.555485
LINC01474,0,0,0,0.208577
LINC01475,0,0,0,0.124969
LINC01476,0.0441925,0.0397993,0,0.0185984
LINC01477,0,0,0,0
LINC01478,0,0,0,0
LINC01479,0,0,0.240256,0
LINC01480,1.0023,0.0960397,0.0435639,0.310745
LINC01482,0.050342,0,0,0.0605796
LINC01483,0.0634535,0.0379184,0.0267238,0.0508188
LINC01484,0,0.0261963,0.0723915,0
LINC01485,0,0,0,0
LINC01486,0.224133,0.510039,0.376374,0.136627
LINC01487,0,0,0,0
LINC01488,0,0,0,0
LINC01489,0.153837,0,0,0
LINC01490,0,0,0,0
LINC01492,0.0864604,0.0155245,0.175014,0
LINC01494,0.0729203,0.0659689,0,0
LINC01495,0,0,0,0
LINC01496,0.0409574,0,0,0.0995769
LINC01497,0.106919,0.0482151,0.117207,0.0646056
LINC01498,0.0218852,0.154626,0.0919296,0
LINC01499,0.154917,0.1981,0,0.423933
LINC01500,0,0,0,0
LINC01501,0.579006,0.574944,0.0368755,0.192449
LINC01502,0,0,0.0298037,0.064404
LINC01503,0.517491,0.774552,0.412015,1.24434
LINC01504,0.849635,1.0403,1.14542,0.6118
LINC01505,0,0.112698,0.292008,0
LINC01506,0,0,0,0
LINC01507,0,0,0,0
LINC01508,1.67971,1.24993,0.943987,1.11876
LINC01509,0,0,0,0
LINC01511,0,0.110795,0,0
LINC01512,0,0,0.0321495,0.0352903
LINC01513,0.387028,0.890699,0.944475,0
LINC01514,0.0603918,0.0531366,0,0.0711978
LINC01515,10.7075,9.34601,10.3915,11.1531
LINC01516,0,0,0.0478876,0
LINC01517,0,0.0615348,0,0
LINC01518,0.0803294,0,0,0
LINC01519,0,0.0305248,0,0
LINC01520,0,0,0,0
LINC01521,3.80694,4.44956,4.72775,2.8709
LINC01522,0.199054,0.1615,0.154002,0.244937
LINC01524,0.240142,0.153489,0.0320487,0.017544
LINC01525,0,0,0,0
LINC01526,0,0.318735,0.568918,0.21335
LINC01527,0.168377,0.211945,0.258551,0.243454
LINC01529,0,0,0,0
LINC01530,0.852866,1.34984,1.01236,0.4306
LINC01531,0.0392085,0.0769739,0.0911001,0
LINC01532,0,0,0,0.232469
LINC01533,0.492659,0.04938,0.600054,0.595495
LINC01535,1.74186,2.25,3.28295,4.74999
LINC01537,0.167135,0.0249508,0.0925892,0.133779
LINC01538,0,0,0,0
LINC01539,0,0,0,0
LINC01541,0.0877662,0.0267465,0.0300926,0.0330215
LINC01543,0,0.360133,0,0
LINC01544,0,0,0.0531353,0
LINC01545,0.699315,0.430985,1.01784,0
LINC01546,0.0817031,0.15833,0.17832,0.105829
LINC01547,8.2292,7.52694,5.83788,5.80063
LINC01548,0,0,0,0
LINC01549,0.120416,0.755729,0,0
LINC01550,0.0808218,0.521132,0.354651,0.852487
LINC01551,18.2276,15.6031,10.9665,11.7424
LINC01553,0.014817,0.0132842,0,0.0178528
LINC01554,0.0965452,0.174007,0.10585,0
LINC01555,0,0.0203657,0,0
LINC01556,0.61274,0.37645,0.446188,0.503911
LINC01558,0.203296,0.102242,0.356441,0.300288
LINC01559,0,0,0,0
LINC01560,1.49486,1.86795,0.819264,1.04287
LINC01561,0.0309242,0,0.0339206,0
LINC01562,0.312311,0.230521,0.152348,0.372181
LINC01563,0,0,0.322245,0.0916378
LINC01564,0,0,0,0
LINC01565,0,0.0656264,0.0536157,0
LINC01566,0,0,0,0
LINC01567,0.0224998,0.0605828,0.0995423,0
LINC01568,0.568501,0.306058,0,0.316231
LINC01569,3.31436,3.02509,3.69894,3.22404
LINC01570,0.223932,0.178681,0.216682,0.239405
LINC01571,0.0954903,0,0,0.116141
LINC01572,3.76986,1.30455,1.6752,3.07583
LINC01579,0.373482,0.316763,0.144431,0.699464
LINC01580,0.0456644,0.0822688,0,0.0551206
LINC01581,0,0,0,0
LINC01582,0,0,0,0
LINC01583,0,0,0,0.0308971
LINC01585,0.0539213,0,0.0647061,0.071404
LINC01586,0.0911537,0,0,0
LINC01587,0,0,0,0
LINC01588,0.918493,0.754562,1.5312,1.19618
LINC01589,0,0,0,0
LINC01591,0,0,0,0
LINC01592,0,0,0,0
LINC01593,0,0,0,0
LINC01594,0,0,0,0
LINC01595,0,0,0,0
LINC01596,0,0,0,0
LINC01597,2.08498,2.84653,2.4526,2.28167
LINC01600,0.157045,0.16877,0.204382,0
LINC01602,0.0317354,0.0855743,0.0632187,0.0775596
LINC01603,0,0,0,0.068116
LINC01605,33.2068,31.2252,28.6971,34.9789
LINC01606,0,0,0.0746861,0.0453269
LINC01607,0.333007,0.853835,0,1.20367
LINC01608,0.68935,0.23136,0.5056,0.265535
LINC01609,0.395912,0.286331,0.2894,0.410767
LINC01611,0,0,0.271501,0
LINC01612,0,0,0,0
LINC01614,0,0,0,0
LINC01615,0,0,0.13998,0
LINC01616,0,0,0,0
LINC01618,0.187323,0.0917239,0.11385,0
LINC01619,0.903044,1.62285,2.0456,2.51945
LINC01620,0.161798,0.221227,0.522371,0.140654
LINC01621,0,0,0,0.111754
LINC01622,0.111953,0.0624784,0,0.0514403
LINC01623,0.0991457,0.0241651,0.0295156,0.105407
LINC01624,0,0,0,0.0239297
LINC01625,0.223347,0.205425,0.241762,0.276828
LINC01627,0,0,0,0
LINC01629,0,0,0,0
LINC01630,0.0633208,0.0395228,0.111659,0.0970586
LINC01632,0.725542,1.02248,0.967729,0.928814
LINC01633,0,0,0,0
LINC01634,0,0.0250432,0,0
LINC01635,0.229726,0.104587,0,0.420363
LINC01637,0.118842,0.433114,0.130036,0
LINC01638,0.261511,0.32832,0.179156,0
LINC01639,0,0,0,0
LINC01640,0,0,0,0
LINC01641,0,0,0,0
LINC01643,0,0,0,0
LINC01644,0,0,0,0
LINC01645,0,0,0,0
LINC01646,0,0,0,0
LINC01647,0.225965,0.0470679,0.171074,0.125698
LINC01648,0,0,0,0
LINC01649,0,0,0,0
LINC01650,0,0,0,0
LINC01651,0,0.302901,0,0
LINC01653,0.0419001,0,0.086571,0.0476001
LINC01654,0,0,0,0
LINC01655,0,0,0,0
LINC01659,0.272284,0.0984356,0.424198,0.565082
LINC01661,0,0,0,0
LINC01664,0.240032,0.0583634,0.0634334,0
LINC01665,0,0,0,0
LINC01666,0,0,0,0.126278
LINC01667,0.405942,0.160704,0.538033,0.215347
LINC01668,0,0,0,0
LINC01670,17.1651,14.976,18.2307,16.6799
LINC01671,0.0383646,0.103433,0,0
LINC01672,0.167828,0.459717,0.533927,0.199121
LINC01673,0,0,0,0
LINC01674,0,0,0,0
LINC01675,0,0.0373733,0,0
LINC01676,0,0,0,0
LINC01677,0,0,0,0
LINC01679,0,0,0,0
LINC01681,0,0,0,0
LINC01682,0,0,0,0
LINC01683,0,0.125715,0,0.102075
LINC01684,0.185036,0.101535,0,0
LINC01685,0,0,0,0
LINC01686,0.356602,1.65339,0.223397,1.23083
LINC01687,2.58246,1.7791,1.68139,1.51517
LINC01689,0,0,0,0
LINC01690,0,0,0,0
LINC01691,0,0,0,0
LINC01692,0,0,0.0265014,0
LINC01693,0,0,0,0
LINC01694,1.19173,1.1943,0.907614,0.893902
LINC01695,0.0286318,0.0520562,0.0166406,0.085767
LINC01697,0,0.212423,0,0.382927
LINC01698,0,0,0,0
LINC01699,0,0,0,0
LINC01700,0,0,0,0
LINC01701,0,0,0,0
LINC01702,0,0,0,0
LINC01703,7.36161,6.24162,7.64966,4.75324
LINC01704,0.0963854,0,0,0
LINC01705,0,0,0.339529,0
LINC01707,0.13002,0.152293,0.42344,0.519465
LINC01708,0,0,0,0
LINC01709,0,0,0,0
LINC01711,0,0,0,0
LINC01712,0,0,0,0
LINC01714,0,0,0,0
LINC01716,0,0.406253,0.473697,0
LINC01717,0,0,0,0
LINC01719,3.29682,3.15393,3.69443,4.51224
LINC01720,0.120319,0.0540594,0,0
LINC01721,0.0446252,0.0200257,0,0.107354
LINC01722,0.754861,0.406474,0.379386,0.441469
LINC01723,0,0,0,0
LINC01724,0,0,0,0
LINC01725,0.0205124,0.0551348,0.155211,0.0246309
LINC01726,0.056702,0,0,0
LINC01727,0.196433,0.259364,0.110928,0.308623
LINC01728,0,0,0,0
LINC01730,0.090984,0,0.199276,0.110585
LINC01731,0,0,0,0.297348
LINC01732,0.366739,0.382106,0,0
LINC01733,0,0.0124099,0.015194,0.0332782
LINC01734,0,0,0,0
LINC01735,0,0,0,0
LINC01736,0,0,0,0
LINC01737,0,0.237744,0.280322,0
LINC01738,0,0,0,0.0574765
LINC01739,0,0,0,0
LINC01740,0,0,0.389301,0
LINC01742,0.266408,0,0.145693,0
LINC01743,0,0,0.0845846,0
LINC01744,0.0361838,0,0.0653787,0.0436143
LINC01746,0,0,0,0
LINC01747,0.0521946,0.0703091,0.0572596,0.125635
LINC01748,0.137435,0.111744,0.102749,0.0274971
LINC01749,0,0,0,0
LINC01750,0.021252,0,0,0
LINC01752,0,0,0,0
LINC01754,0.105446,0,0,0
LINC01755,0,0,0,0
LINC01756,0,0,0,0
LINC01758,0,0.193331,0,0
LINC01761,0.0641774,0.144046,0.0839349,0
LINC01762,0.135248,0,0.443749,1.83519
LINC01763,0,0,0,0.161628
LINC01764,0.101125,0.204371,0.22142,0.832196
LINC01765,0,0,0,0
LINC01766,0,0.139088,0.0841642,0.279515
LINC01767,0.131916,0,0.581091,0
LINC01768,0,0,0,0
LINC01770,0.178537,1.2247,0.774236,1.0981
LINC01772,0.100344,0.0904153,0.131869,0.144761
LINC01775,1.49396,0.54715,1.60794,1.83098
LINC01776,0.209233,0.153974,0.163938,0.179972
LINC01777,0,0,0,0
LINC01778,0,0.100104,0.147273,0.0792033
LINC01779,0,0,0,0
LINC01780,0.117062,0.211325,0.320772,0.070789
LINC01781,0,0,0,0
LINC01782,0,0,0,0
LINC01783,0.178431,0.160704,0.146736,0
LINC01785,0,0,0,0
LINC01786,5.68879,9.39058,15.0083,14.2314
LINC01787,0,0,0.0739926,0.0406425
LINC01788,0.140796,0,0.15396,0.0616441
LINC01789,0,0.0805014,0.0972071,0
LINC01791,0.0968488,0,0,0.107293
LINC01792,0,0.0635381,0,0
LINC01793,0,0,0,0
LINC01794,0,0,0,0
LINC01795,0,0,0,0
LINC01796,0,0.0482151,0,0
LINC01797,0,0,0.0628449,0
LINC01798,0.596509,0.253546,0.52215,0
LINC01799,0,0,0,0
LINC01800,0,0,0,0
LINC01801,0,0,0.0372814,0.0777395
LINC01802,0,0,0,0
LINC01804,0,0,0,0
LINC01805,0,0.138697,0,0
LINC01806,0.0284566,0.120697,0,0
LINC01807,0,0,0,0
LINC01808,0,0,0,0
LINC01809,0,0,0,0
LINC01811,0,0,0,0
LINC01812,0,0,0,0
LINC01814,0.0654206,0.0362397,0.114945,0.116021
LINC01816,2.5393,2.187,2.36334,1.31843
LINC01817,0,0,0,0
LINC01818,0,0,0,0
LINC01819,0,0,0,0
LINC01820,0,0,0,0
LINC01821,1.07376,0.446715,1.17464,0.889135
LINC01822,0.032746,0,0,0
LINC01823,0.29228,0.284219,0.186532,0.419509
LINC01824,0,0,0,0
LINC01825,0.0280172,0,0,0.101188
LINC01827,0,0,0,0
LINC01828,0,0.194489,0,0.366602
LINC01829,0.087212,0.0499161,0.1213,0.0668841
LINC01832,0,0,0,0
LINC01833,0.204243,1.29795,0.0249309,0.563431
LINC01836,0.365872,0.168615,0,0
LINC01837,0.0443195,0.0399145,0,0
LINC01838,0,0,0,0
LINC01840,0,0,0,0.372385
LINC01841,0,0.276699,0,0.211548
LINC01842,0.592113,0.557821,0,0.577086
LINC01843,0.130979,0.0591771,0,0
LINC01844,0,0,0,0
LINC01845,0,0,0,0
LINC01846,0,0,0,0
LINC01847,0,0,0.0510503,0
LINC01848,0.174507,0,0,0
LINC01849,0,0.0644009,0.0262345,0.184802
LINC01852,0.920139,0.1438,0.0869717,0.866938
LINC01854,0,0,0,0
LINC01856,0.0276283,0,0.0608198,0
LINC01857,0.0990151,0,0,0
LINC01858,0,0,0,0
LINC01859,0,0.0313263,0,0
LINC01861,0,0,0,0
LINC01863,0,0,0,0
LINC01864,0.0824772,0.0742437,0.316553,0.0994902
LINC01865,0.0907165,0.0823024,0,0
LINC01869,0.0699442,0.344065,0.160905,0.502572
LINC01871,0,0,0,0
LINC01872,0.145097,0.265436,0,0
LINC01873,1.5629,1.12172,1.23103,1.11019
LINC01874,0,0,0,0
LINC01875,0,0,0,0
LINC01876,1.65215,2.3269,3.39992,1.97277
LINC01877,0.0545702,0,0,0.0260998
LINC01878,0,0,0,0
LINC01879,0,0,0.116322,0
LINC01880,0,0,0,0
LINC01881,8.30434,6.60103,6.76232,10.0452
LINC01882,0,0,0,0
LINC01884,0,0,0,0
LINC01885,0,0,0,0
LINC01886,0.11074,0.149286,0,0
LINC01887,0,0,0,0
LINC01889,0,0,0,0
LINC01890,0,0,0,0
LINC01891,0,0,0,0
LINC01892,0.0433845,0.118083,0.0710901,0.0523506
LINC01894,0,0,0,0
LINC01895,0,0,0,0
LINC01896,5.89899,3.22872,4.26075,3.80569
LINC01897,0,0,0,0
LINC01898,0,0,0,0
LINC01899,0,0,0,0
LINC01900,0.267517,0,0,0
LINC01901,0,0,0,0.078614
LINC01902,0.029774,0.0618343,0.0267972,0
LINC01903,0,0,0,0.0374854
LINC01905,0.541026,0.0684218,0,0
LINC01907,0.102055,0.0460226,0,0.0303769
LINC01908,0,0,0,0
LINC01909,0,0.439195,0.518487,0
LINC01910,0,0,0.0279794,0.0303796
LINC01911,0,0,0.0917464,0
LINC01912,0,0,0,0
LINC01913,0.0714457,0.0642725,0.0391792,0.0861115
LINC01914,0,0,0,0
LINC01915,0.0811179,0.0849731,0.113291,0.0709171
LINC01916,0,0,0,0
LINC01917,0,0,0,0
LINC01918,0.244781,0.452974,0,0.59376
LINC01919,0,0,0,0.180767
LINC01920,0,0,0,0
LINC01922,0.222678,0.202656,0.245047,0.414706
LINC01923,0.0783251,0.141528,0.168918,0.0314222
LINC01924,0.049275,0.115729,0,0
LINC01925,0,0,0,0
LINC01926,0,0,0,0
LINC01927,0,0,0,0
LINC01928,0,0,0,0
LINC01929,0,0,0,0
LINC01931,0.0985154,0.033292,0,0
LINC01932,0.302245,0,0,0
LINC01933,0.0180078,0.21791,0.0395192,0.378281
LINC01934,0.556278,0.0411328,0.0632642,0.066411
LINC01936,0.0475248,0.0198671,0,0
LINC01937,0,0,0,0
LINC01938,0,0,0,0
LINC01939,0,0,0,0
LINC01940,0,0,0.0203722,0
LINC01941,0,0,0,0
LINC01943,0,0,0,0
LINC01944,0,0,0,0
LINC01945,0,0,0,0
LINC01946,0,0,0,0
LINC01947,0,0,0,0
LINC01948,0.0563891,0.0339562,0.166894,0.160578
LINC01949,0.149741,0.0736297,0.254069,0
LINC01950,0,0,0,0
LINC01951,0,0.126093,0.269117,0.126733
LINC01953,0,0,0,0
LINC01954,0,0,0,0
LINC01955,0,0,0,0
LINC01956,0,0,0,0
LINC01958,0,0,0,0
LINC01960,0,0,0,0
LINC01961,0,0,0,0.181034
LINC01962,0.617724,0.114781,0.0701862,0.0769153
LINC01963,2.02684,1.52171,1.63385,1.76585
LINC01964,0,0,0.0884939,0
LINC01965,0,0.148313,0,0
LINC01967,0.78828,0.223757,0.638244,1.16807
LINC01968,0.214172,0.0532906,0,0
LINC01970,1.39201,1.19186,0.617549,0.497999
LINC01971,0.628785,0.442221,0.38277,0.338567
LINC01972,0,0,0,0
LINC01973,0,0,0,0
LINC01974,0.187085,0.344325,0,0
LINC01976,13.5,11.4812,8.70953,8.18576
LINC01977,0.309692,0.386102,0.556528,0.641568
LINC01978,0,0.0419121,0,0
LINC01979,0.0241657,0.0324813,0.0132604,0
LINC01980,4.10406,2.9873,4.18194,2.31478
LINC01981,0,0,0,0
LINC01982,0,0,0,0.510121
LINC01983,0,0,0,0
LINC01985,0,0,0,0
LINC01986,0,0,0,0
LINC01987,0,0,0,0
